"nome_officina","numero_intervento","codice_pezzo"
"Officina Tarvisio","EIR2229","PR039"
"Officina Tolmezzo","SHE8477","PR036"
"Officina Aquileia","CAA6137","PR039"
"Officina Monfalcone","DKT2875","PR002"
"Officina San Giorgio di Nogaro","BPU3315","PR026"
"Officina Lignano Sabbiadoro","HYN9178","PR014"
"Officina Udine","FQN3938","PR034"
"Officina San Giorgio di Nogaro","BUT1507","PR023"
"Officina Cividale del Friuli","WMK1129","PR040"
"Officina Azzano Decimo","YQS2334","PR040"
"Officina Tolmezzo","YRG5550","PR017"
"Officina Cividale del Friuli","UHC9005","PR038"
"Officina Fagagna","HBF7421","PR033"
"Officina Gorizia","JSJ6216","PR046"
"Officina Cervignano del Friuli","ZFX6444","PR050"
"Officina Pordenone","CCH4348","PR039"
"Officina San Giorgio di Nogaro","GWY0684","PR004"
"Officina Sacile","BBL2468","PR020"
"Officina Pasian di Prato","VRA7974","PR014"
"Officina Udine","XQP7552","PR031"
"Officina Codroipo","HHP4797","PR001"
"Officina Cividale del Friuli","OEZ5546","PR017"
"Officina Palmanova","CQP8929","PR025"
"Officina Trieste","AEU2122","PR047"
"Officina Maniago","VVH0650","PR009"
"Officina Gorizia","TJW5089","PR036"
"Officina Trieste","AYJ3383","PR042"
"Officina Udine","KVM1030","PR003"
"Officina Lignano Sabbiadoro","JZB0758","PR050"
"Officina Pasian di Prato","OXC9993","PR041"
"Officina Aquileia","SAY7537","PR027"
"Officina Pasian di Prato","WDQ5141","PR010"
"Officina Spilimbergo","VAA8349","PR045"
"Officina Pasian di Prato","CTY7615","PR007"
"Officina Latisana","CVS8354","PR045"
"Officina Tricesimo","LSD2157","PR001"
"Officina Codroipo","ZVH9923","PR005"
"Officina Azzano Decimo","INV7377","PR049"
"Officina Cividale del Friuli","OAF5376","PR041"
"Officina Aquileia","CEC4030","PR031"
"Officina Buttrio","ASW9364","PR017"
"Officina Spilimbergo","SQG5175","PR027"
"Officina Udine","ALO7947","PR004"
"Officina Trieste","IFU3942","PR032"
"Officina Maniago","TCY8561","PR031"
"Officina Codroipo","GAV5025","PR007"
"Officina San Daniele del Friuli","IDS9108","PR038"
"Officina Latisana","NEB9817","PR025"
"Officina Sacile","IWP6172","PR004"
"Officina Pasian di Prato","RAY4927","PR019"
"Officina Codroipo","EKZ6691","PR024"
"Officina Lignano Sabbiadoro","TSQ0811","PR017"
"Officina Palmanova","CME3453","PR015"
"Officina Monfalcone","RIN4793","PR032"
"Officina Sacile","LGN8901","PR013"
"Officina Sacile","ZQK1257","PR024"
"Officina San Daniele del Friuli","GJY9397","PR013"
"Officina Codroipo","CDU0263","PR018"
"Officina Gorizia","AHG0449","PR021"
"Officina Trieste","ATF6856","PR009"
"Officina Cividale del Friuli","CIR7884","PR023"
"Officina San Vito al Tagliamento","GMK3858","PR050"
"Officina Maniago","PID8376","PR050"
"Officina Gorizia","UBC2698","PR020"
"Officina Codroipo","UGY4641","PR047"
"Officina Tavagnacco","WSK4242","PR047"
"Officina Tavagnacco","MPS2278","PR011"
"Officina Tolmezzo","GQC8534","PR044"
"Officina Azzano Decimo","EUV9025","PR033"
"Officina Fagagna","BVE2548","PR046"
"Officina Cervignano del Friuli","QQX1605","PR023"
"Officina Pasian di Prato","GHO0212","PR034"
"Officina Maniago","ALT9727","PR028"
"Officina Trieste","JHS0813","PR039"
"Officina Tricesimo","HID9995","PR050"
"Officina Monfalcone","ZTR7094","PR034"
"Officina Trieste","FXA9874","PR015"
"Officina Fagagna","FLR9286","PR050"
"Officina Tolmezzo","YAV5539","PR049"
"Officina Tavagnacco","TQO4971","PR011"
"Officina Monfalcone","KHS8394","PR029"
"Officina Spilimbergo","TFD0602","PR042"
"Officina Tavagnacco","EUS1182","PR031"
"Officina Gemona","FVY1684","PR005"
"Officina Tarvisio","IHO2897","PR010"
"Officina Gorizia","CMI3680","PR013"
"Officina Lignano Sabbiadoro","LTI9833","PR039"
"Officina Aquileia","VPR0484","PR039"
"Officina Pasian di Prato","YKK5657","PR011"
"Officina Cervignano del Friuli","ZER9493","PR043"
"Officina Fagagna","JXG3441","PR031"
"Officina Fagagna","GQN2212","PR023"
"Officina Udine","BFG3403","PR031"
"Officina Tavagnacco","DXU0576","PR034"
"Officina Buttrio","QRD2367","PR046"
"Officina San Daniele del Friuli","IME4373","PR004"
"Officina Tarvisio","DFT2870","PR034"
"Officina Fagagna","ARH7432","PR029"
"Officina Codroipo","JAZ8024","PR044"
"Officina Codroipo","BAI2574","PR038"
"Officina Pordenone","ZQE2922","PR021"
"Officina Codroipo","HKF3111","PR022"
"Officina Cividale del Friuli","VKP6282","PR002"
"Officina Azzano Decimo","OND6019","PR033"
"Officina Latisana","XOK6350","PR004"
"Officina Azzano Decimo","OHM3974","PR048"
"Officina Trieste","VKE2007","PR026"
"Officina Latisana","QJB4807","PR030"
"Officina Tarvisio","WSJ4250","PR010"
"Officina San Vito al Tagliamento","OZL2751","PR049"
"Officina Pordenone","WBD2133","PR009"
"Officina Spilimbergo","LVO4506","PR023"
"Officina Fagagna","LBE7633","PR038"
"Officina Pordenone","MQS6694","PR026"
"Officina Codroipo","NFQ8026","PR015"
"Officina Udine","FZT4152","PR034"
"Officina Tavagnacco","JSH2017","PR005"
"Officina Gorizia","AVU6937","PR038"
"Officina Tavagnacco","MBQ1826","PR038"
"Officina Palmanova","QOX4311","PR009"
"Officina Udine","BXZ5895","PR048"
"Officina Udine","TRL4462","PR050"
"Officina Tarvisio","JDD1368","PR003"
"Officina Pordenone","UHS0802","PR024"
"Officina Codroipo","OVA8440","PR008"
"Officina Pordenone","RGA6896","PR039"
"Officina Fagagna","ZUR5362","PR045"
"Officina Azzano Decimo","YBC0790","PR049"
"Officina Lignano Sabbiadoro","VKS5482","PR016"
"Officina Fagagna","SWJ8769","PR014"
"Officina Adegliaco","DDO4466","PR043"
"Officina Trieste","USE1575","PR034"
"Officina Fagagna","JUN4925","PR048"
"Officina Spilimbergo","YLH9369","PR003"
"Officina Pasian di Prato","OYD6230","PR031"
"Officina San Daniele del Friuli","QSM9808","PR008"
"Officina Azzano Decimo","COM7713","PR005"
"Officina San Vito al Tagliamento","JZE9111","PR035"
"Officina Lignano Sabbiadoro","PEN7730","PR023"
"Officina Tarvisio","CMT6483","PR042"
"Officina San Giorgio di Nogaro","CQW3483","PR039"
"Officina Buttrio","YHE1384","PR029"
"Officina Cervignano del Friuli","NRE7232","PR014"
"Officina Cividale del Friuli","FZM7579","PR026"
"Officina Monfalcone","HEO5991","PR040"
"Officina Fagagna","RCW9874","PR038"
"Officina Tarvisio","UXL6721","PR019"
"Officina San Daniele del Friuli","OIU6919","PR015"
"Officina Monfalcone","VTK4320","PR017"
"Officina Spilimbergo","BCH5250","PR034"
"Officina Udine","KWG8685","PR013"
"Officina Latisana","MTA3671","PR016"
"Officina Azzano Decimo","NBL7162","PR037"
"Officina Tarvisio","LNY6961","PR004"
"Officina Tarvisio","NVN2282","PR039"
"Officina Codroipo","BWO9880","PR039"
"Officina Cividale del Friuli","XYT5458","PR007"
"Officina San Vito al Tagliamento","OQY3040","PR029"
"Officina Sacile","ZKQ3250","PR029"
"Officina Spilimbergo","VYC5156","PR039"
"Officina Spilimbergo","VIO9076","PR004"
"Officina Gorizia","XXW7565","PR034"
"Officina Tricesimo","WJS6954","PR020"
"Officina Spilimbergo","NAD2367","PR035"
"Officina San Vito al Tagliamento","TRM2892","PR016"
"Officina Cividale del Friuli","EGA2161","PR035"
"Officina Azzano Decimo","QTC4364","PR048"
"Officina Aquileia","XWG2273","PR035"
"Officina Maniago","JPH1443","PR001"
"Officina Gemona","HZU9385","PR026"
"Officina San Vito al Tagliamento","EHV3722","PR050"
"Officina Pasian di Prato","BDF8473","PR007"
"Officina Trieste","FFM4095","PR001"
"Officina Pasian di Prato","ODC3797","PR049"
"Officina Pasian di Prato","XPX4804","PR021"
"Officina Tolmezzo","XGC4419","PR004"
"Officina Lignano Sabbiadoro","DCO7094","PR006"
"Officina San Daniele del Friuli","QTG2695","PR002"
"Officina Tricesimo","SYK7552","PR038"
"Officina Gorizia","WTN0168","PR032"
"Officina Fagagna","SSQ2162","PR039"
"Officina Fagagna","FYU5341","PR042"
"Officina Cividale del Friuli","MTN4681","PR030"
"Officina Tricesimo","IJX0563","PR019"
"Officina San Vito al Tagliamento","TRE0908","PR004"
"Officina Tolmezzo","JNG7280","PR038"
"Officina Udine","HRV9005","PR041"
"Officina San Daniele del Friuli","QFT1937","PR028"
"Officina Adegliaco","EVP4862","PR003"
"Officina Fagagna","BFY8521","PR029"
"Officina Fagagna","HJE0974","PR020"
"Officina Tolmezzo","PVJ1337","PR025"
"Officina Pasian di Prato","ZKI1905","PR034"
"Officina Palmanova","TTT6172","PR029"
"Officina Lignano Sabbiadoro","SSL1516","PR030"
"Officina Trieste","YFW3389","PR018"
"Officina Azzano Decimo","GJK7232","PR046"
"Officina San Daniele del Friuli","HAZ3422","PR021"
"Officina Lignano Sabbiadoro","JXG0989","PR039"
"Officina Tricesimo","QVC7463","PR032"
"Officina Codroipo","DKM8821","PR029"
"Officina Cividale del Friuli","JTI8275","PR037"
"Officina Cividale del Friuli","UQF3550","PR014"
"Officina Adegliaco","HNQ7558","PR035"
"Officina Adegliaco","URH1834","PR036"
"Officina Palmanova","AWJ0481","PR033"
"Officina Trieste","MUU9101","PR017"
"Officina Pordenone","KUO4921","PR026"
"Officina Tavagnacco","QKT2532","PR025"
"Officina San Daniele del Friuli","TEF7608","PR013"
"Officina Tavagnacco","QKN4453","PR004"
"Officina Latisana","IYR2394","PR038"
"Officina Gorizia","XBB5300","PR004"
"Officina Gemona","JTC0389","PR004"
"Officina San Giorgio di Nogaro","VAE1383","PR031"
"Officina Azzano Decimo","LUL2998","PR006"
"Officina Latisana","OJR1054","PR030"
"Officina Aquileia","WIG4451","PR035"
"Officina Palmanova","ZTE4049","PR023"
"Officina Cividale del Friuli","MUC0853","PR046"
"Officina Palmanova","TPK2154","PR009"
"Officina Sacile","NBF6449","PR004"
"Officina Tricesimo","KYS3203","PR020"
"Officina Gemona","NTM6331","PR015"
"Officina Pordenone","BWK5725","PR017"
"Officina Sacile","NSB8796","PR019"
"Officina Gorizia","BJW5712","PR009"
"Officina Trieste","YIT0208","PR030"
"Officina Cividale del Friuli","LBQ5488","PR046"
"Officina Lignano Sabbiadoro","QKT9918","PR035"
"Officina Codroipo","UTN3127","PR034"
"Officina San Vito al Tagliamento","LOM4199","PR045"
"Officina Sacile","ORM4005","PR009"
"Officina Cervignano del Friuli","PKV9711","PR029"
"Officina Cividale del Friuli","FGP1137","PR047"
"Officina Tricesimo","BID2349","PR026"
"Officina Buttrio","EHH2377","PR024"
"Officina Tolmezzo","SFV2004","PR044"
"Officina Sacile","ZVG1201","PR047"
"Officina Palmanova","SHK5588","PR002"
"Officina San Giorgio di Nogaro","DJQ8705","PR038"
"Officina Tolmezzo","HOD1865","PR008"
"Officina Sacile","GJP6917","PR032"
"Officina Maniago","FIL5113","PR036"
"Officina Udine","VNM8976","PR031"
"Officina Trieste","FOO6134","PR022"
"Officina Trieste","VHN8353","PR048"
"Officina Tarvisio","BIN3578","PR029"
"Officina Gorizia","UPC8571","PR030"
"Officina Gemona","DFJ8102","PR007"
"Officina Monfalcone","DMG9116","PR011"
"Officina Pordenone","AGX9958","PR016"
"Officina Tavagnacco","GAI2928","PR045"
"Officina Tavagnacco","EMW3213","PR034"
"Officina Aquileia","GJI4583","PR012"
"Officina Gemona","MDI1748","PR009"
"Officina Cividale del Friuli","VCP7404","PR020"
"Officina Tarvisio","PYQ8578","PR040"
"Officina Pordenone","VDC5028","PR022"
"Officina Tolmezzo","LOJ3190","PR020"
"Officina Maniago","FTS4989","PR029"
"Officina Pasian di Prato","XMP2454","PR006"
"Officina Sacile","EFJ7363","PR007"
"Officina Pasian di Prato","OVP9812","PR010"
"Officina Spilimbergo","RGC5933","PR008"
"Officina Tricesimo","UGE5717","PR047"
"Officina Aquileia","QYY7424","PR034"
"Officina Tavagnacco","FHL9568","PR004"
"Officina Cervignano del Friuli","XTX2363","PR041"
"Officina Cervignano del Friuli","ZHB0255","PR040"
"Officina San Giorgio di Nogaro","DMZ3668","PR018"
"Officina Spilimbergo","RIW8413","PR022"
"Officina Fagagna","TYL1748","PR033"
"Officina Lignano Sabbiadoro","GRX8734","PR023"
"Officina Aquileia","VZH6264","PR038"
"Officina Pasian di Prato","STX0952","PR012"
"Officina Codroipo","SAU8578","PR022"
"Officina Adegliaco","JUV0530","PR039"
"Officina Pasian di Prato","KKX5997","PR039"
"Officina Trieste","PQX5432","PR044"
"Officina Gemona","YWK6261","PR007"
"Officina Trieste","COK5977","PR034"
"Officina Lignano Sabbiadoro","JWK8869","PR043"
"Officina Codroipo","LQR1226","PR026"
"Officina Palmanova","WGP4845","PR015"
"Officina San Giorgio di Nogaro","TCI5781","PR010"
"Officina Pordenone","SFH6514","PR015"
"Officina San Vito al Tagliamento","OKS3896","PR004"
"Officina Tolmezzo","CLU2332","PR017"
"Officina Lignano Sabbiadoro","FLL2968","PR033"
"Officina San Giorgio di Nogaro","OWX8972","PR040"
"Officina Tavagnacco","JRM6792","PR043"
"Officina Pordenone","OJT3126","PR020"
"Officina Latisana","DFY1468","PR011"
"Officina San Vito al Tagliamento","HEV0212","PR017"
"Officina Latisana","ZVU1144","PR018"
"Officina Azzano Decimo","JZX0659","PR009"
"Officina Pasian di Prato","TIB5788","PR033"
"Officina Codroipo","ZFJ4586","PR008"
"Officina Sacile","DHB9900","PR023"
"Officina Latisana","ATL8310","PR001"
"Officina Cervignano del Friuli","DXT3931","PR048"
"Officina San Daniele del Friuli","HQR9351","PR013"
"Officina Maniago","ZLS7210","PR022"
"Officina Sacile","TCY5316","PR014"
"Officina Cervignano del Friuli","PGN6122","PR020"
"Officina Cividale del Friuli","WWK3084","PR003"
"Officina Tavagnacco","VNX1477","PR043"
"Officina Latisana","XIR4645","PR044"
"Officina Tarvisio","TOA1652","PR027"
"Officina San Giorgio di Nogaro","ZAW6707","PR013"
"Officina Codroipo","ZDV6139","PR036"
"Officina Codroipo","DUO1350","PR009"
"Officina Palmanova","KBJ4928","PR045"
"Officina Spilimbergo","LLS0960","PR017"
"Officina San Vito al Tagliamento","AKH6487","PR023"
"Officina Fagagna","EWO8206","PR034"
"Officina Aquileia","BGA4486","PR026"
"Officina Sacile","SVV2251","PR021"
"Officina Adegliaco","ERG1550","PR038"
"Officina Maniago","IBI6433","PR046"
"Officina Monfalcone","RFF6223","PR029"
"Officina Buttrio","VPB8849","PR049"
"Officina San Giorgio di Nogaro","KVW5236","PR013"
"Officina Trieste","HJF7993","PR033"
"Officina Tavagnacco","KHD4323","PR048"
"Officina Tolmezzo","CRS8532","PR009"
"Officina Tricesimo","FWK6312","PR016"
"Officina Tolmezzo","SLK1349","PR016"
"Officina Trieste","AMC1737","PR045"
"Officina Azzano Decimo","XKE4193","PR042"
"Officina Tavagnacco","XTA3638","PR024"
"Officina San Vito al Tagliamento","FUE4156","PR003"
"Officina Tricesimo","RFQ1797","PR018"
"Officina Udine","QVN1570","PR035"
"Officina Pordenone","DKN9290","PR042"
"Officina Tolmezzo","JSG7993","PR021"
"Officina Maniago","YCZ1588","PR044"
"Officina Trieste","TBZ0757","PR045"
"Officina Trieste","LQZ3237","PR040"
"Officina Spilimbergo","BMC8685","PR049"
"Officina Tarvisio","AHU8105","PR024"
"Officina Trieste","NJA1004","PR035"
"Officina Maniago","XMQ5203","PR038"
"Officina Gorizia","HVF2506","PR037"
"Officina Aquileia","LZV3251","PR019"
"Officina Aquileia","LSB9808","PR015"
"Officina Tavagnacco","GDY7756","PR041"
"Officina Trieste","MHA8606","PR009"
"Officina Lignano Sabbiadoro","XEU4003","PR044"
"Officina Cervignano del Friuli","PAI6195","PR030"
"Officina Trieste","QYP4643","PR048"
"Officina Adegliaco","TAW5342","PR047"
"Officina Tarvisio","BOY5044","PR010"
"Officina Adegliaco","KMY2196","PR015"
"Officina Lignano Sabbiadoro","DUZ1978","PR049"
"Officina Codroipo","PVD7163","PR042"
"Officina Azzano Decimo","QUU7504","PR040"
"Officina Pasian di Prato","HPM5845","PR007"
"Officina Latisana","CPF1416","PR048"
"Officina Tavagnacco","JPQ0373","PR005"
"Officina Azzano Decimo","CWD8869","PR005"
"Officina Monfalcone","DWU9465","PR016"
"Officina Gorizia","AAN4643","PR037"
"Officina Cividale del Friuli","DMF8666","PR024"
"Officina Udine","SVF7520","PR027"
"Officina Cervignano del Friuli","RNR4124","PR042"
"Officina Buttrio","WGN8506","PR039"
"Officina San Daniele del Friuli","WFQ3496","PR041"
"Officina Tarvisio","VXZ2892","PR022"
"Officina Tavagnacco","PIX7319","PR024"
"Officina Palmanova","ZDC7077","PR020"
"Officina Pasian di Prato","ETF9833","PR026"
"Officina Tolmezzo","ESP1188","PR013"
"Officina Gorizia","XYB8968","PR031"
"Officina Spilimbergo","GOA6024","PR030"
"Officina Tolmezzo","EJC6916","PR013"
"Officina Codroipo","AMU3678","PR039"
"Officina Gorizia","SHP9495","PR007"
"Officina Udine","IBA7403","PR038"
"Officina Maniago","DSW3373","PR017"
"Officina Sacile","IXS5011","PR040"
"Officina San Daniele del Friuli","EOZ3053","PR019"
"Officina Palmanova","MLV6260","PR032"
"Officina Trieste","KFO4775","PR008"
"Officina Buttrio","JIE4110","PR038"
"Officina Cividale del Friuli","UNC4523","PR030"
"Officina Adegliaco","FPR2098","PR036"
"Officina San Giorgio di Nogaro","WWG9224","PR017"
"Officina Trieste","SJD3996","PR050"
"Officina Tarvisio","KPN6549","PR033"
"Officina Tolmezzo","ZAF4167","PR025"
"Officina Tarvisio","VRI5406","PR006"
"Officina Codroipo","ZAP3889","PR041"
"Officina Spilimbergo","UHP3614","PR034"
"Officina Cervignano del Friuli","USX8586","PR026"
"Officina Cividale del Friuli","UIQ8289","PR020"
"Officina Fagagna","FBQ5856","PR026"
"Officina Udine","NVP1535","PR003"
"Officina Lignano Sabbiadoro","WXU4494","PR013"
"Officina Buttrio","ZCZ2939","PR043"
"Officina Azzano Decimo","EEJ7542","PR020"
"Officina Codroipo","QPV1206","PR031"
"Officina Tarvisio","UIS2342","PR011"
"Officina Codroipo","COL0418","PR039"
"Officina Spilimbergo","KBI4024","PR004"
"Officina Maniago","WBB7080","PR044"
"Officina Tolmezzo","HCC8339","PR040"
"Officina Spilimbergo","DYW5826","PR019"
"Officina Fagagna","SUQ1707","PR008"
"Officina Azzano Decimo","VPV1450","PR035"
"Officina Gorizia","CNN8963","PR041"
"Officina Spilimbergo","EDD6068","PR025"
"Officina San Vito al Tagliamento","ZPC8427","PR029"
"Officina Codroipo","XFD4621","PR027"
"Officina Cividale del Friuli","UAK0216","PR039"
"Officina Tolmezzo","ZDR9455","PR017"
"Officina Palmanova","DWQ9900","PR026"
"Officina Tavagnacco","IJQ8291","PR035"
"Officina Pordenone","RJN4629","PR013"
"Officina Fagagna","PLP6306","PR002"
"Officina Cervignano del Friuli","GFK2812","PR015"
"Officina Monfalcone","ITD9748","PR036"
"Officina Gemona","JQY7921","PR024"
"Officina Fagagna","BHK1200","PR030"
"Officina Tolmezzo","SHF6165","PR034"
"Officina Azzano Decimo","RXT8639","PR046"
"Officina Gemona","WRW0132","PR050"
"Officina Palmanova","JXG0473","PR030"
"Officina Lignano Sabbiadoro","YPU4816","PR034"
"Officina Azzano Decimo","SSI3134","PR016"
"Officina Azzano Decimo","UTL8354","PR023"
"Officina Sacile","GWP4283","PR011"
"Officina Latisana","ZZB2712","PR009"
"Officina Tricesimo","RJM2120","PR035"
"Officina Trieste","ZDO7426","PR049"
"Officina San Giorgio di Nogaro","UMB4241","PR036"
"Officina Maniago","GKG3684","PR047"
"Officina Codroipo","KVU7279","PR027"
"Officina Monfalcone","MIK1184","PR036"
"Officina Tolmezzo","AQD6877","PR047"
"Officina Trieste","MMW1035","PR006"
"Officina Tavagnacco","FLC4291","PR028"
"Officina San Daniele del Friuli","EWV7625","PR022"
"Officina Lignano Sabbiadoro","KEA7582","PR049"
"Officina Cervignano del Friuli","NFN9290","PR033"
"Officina San Daniele del Friuli","FLK7275","PR032"
"Officina Azzano Decimo","QIT2170","PR026"
"Officina San Daniele del Friuli","QZQ0563","PR027"
"Officina Tricesimo","YQX6707","PR020"
"Officina Cividale del Friuli","GRC7218","PR039"
"Officina Azzano Decimo","UHN5346","PR015"
"Officina Maniago","PUK5649","PR001"
"Officina Spilimbergo","ODK3430","PR023"
"Officina Tarvisio","MLQ0096","PR008"
"Officina San Giorgio di Nogaro","TQD9013","PR005"
"Officina Azzano Decimo","DKD5782","PR036"
"Officina Maniago","IFZ6263","PR013"
"Officina Tolmezzo","VJY4421","PR017"
"Officina Maniago","ZXB2721","PR016"
"Officina Azzano Decimo","BKN9555","PR005"
"Officina Gorizia","WKC4903","PR009"
"Officina Gorizia","RVI6078","PR047"
"Officina Udine","KPS4403","PR049"
"Officina Maniago","IMB2513","PR020"
"Officina Udine","NSV5393","PR013"
"Officina Buttrio","TFU2225","PR041"
"Officina Tavagnacco","XFL4041","PR038"
"Officina Latisana","JME4299","PR027"
"Officina Cividale del Friuli","DFM9842","PR009"
"Officina Udine","XGF9132","PR039"
"Officina Fagagna","YXE0013","PR020"
"Officina Monfalcone","TXM7376","PR030"
"Officina Lignano Sabbiadoro","ETH5480","PR024"
"Officina San Daniele del Friuli","UOK7873","PR044"
"Officina Gorizia","RAN0242","PR036"
"Officina San Vito al Tagliamento","VBX0510","PR034"
"Officina Buttrio","RYS0991","PR005"
"Officina Tricesimo","EYH9133","PR001"
"Officina Cividale del Friuli","ZYJ1819","PR042"
"Officina Spilimbergo","CYE1611","PR048"
"Officina Pordenone","FQA1931","PR008"
"Officina Pasian di Prato","JFA8376","PR024"
"Officina Udine","FZS0765","PR049"
"Officina Azzano Decimo","XPW7573","PR016"
"Officina Tricesimo","TSR3309","PR025"
"Officina Spilimbergo","QOB5848","PR043"
"Officina San Giorgio di Nogaro","TLF8648","PR003"
"Officina Latisana","HDZ3365","PR049"
"Officina Tricesimo","GYR3884","PR009"
"Officina Spilimbergo","DDZ8684","PR029"
"Officina Sacile","BHI0052","PR019"
"Officina Pasian di Prato","XVD4798","PR012"
"Officina San Giorgio di Nogaro","KSC0107","PR012"
"Officina Palmanova","CWV4847","PR002"
"Officina Trieste","DZE9141","PR025"
"Officina Spilimbergo","NNE3759","PR011"
"Officina Azzano Decimo","PYX8913","PR010"
"Officina Trieste","HUZ4938","PR006"
"Officina Spilimbergo","UYQ4669","PR032"
"Officina Latisana","AIA2519","PR001"
"Officina San Daniele del Friuli","XPQ9082","PR012"
"Officina Tricesimo","XIU6644","PR047"
"Officina Sacile","NKB4240","PR015"
"Officina Spilimbergo","TBB9217","PR042"
"Officina Azzano Decimo","LVG0413","PR027"
"Officina Trieste","TFP8713","PR001"
"Officina Adegliaco","RXJ4002","PR039"
"Officina Buttrio","MIW5649","PR043"
"Officina Maniago","XMC5883","PR032"
"Officina San Vito al Tagliamento","DLR4535","PR047"
"Officina Monfalcone","UNF0160","PR039"
"Officina San Giorgio di Nogaro","HEW8119","PR011"
"Officina Cervignano del Friuli","IVD9965","PR009"
"Officina Buttrio","XKI8275","PR011"
"Officina Tolmezzo","RKV1837","PR027"
"Officina Trieste","RNW9174","PR025"
"Officina Codroipo","BWC2277","PR034"
"Officina Codroipo","OPI4379","PR022"
"Officina Latisana","AVE6988","PR010"
"Officina Gorizia","TXJ2028","PR009"
"Officina Monfalcone","DWB7119","PR049"
"Officina Cervignano del Friuli","NHQ3221","PR050"
"Officina Aquileia","UYY4647","PR031"
"Officina Aquileia","QFN2269","PR001"
"Officina Aquileia","IUG8695","PR031"
"Officina Codroipo","PDA8398","PR007"
"Officina Aquileia","EWO5043","PR023"
"Officina Pasian di Prato","WGL2514","PR033"
"Officina Latisana","ORP1757","PR021"
"Officina Sacile","YAG3392","PR048"
"Officina Latisana","MVJ8763","PR001"
"Officina San Daniele del Friuli","YIJ0079","PR034"
"Officina Trieste","YYC9711","PR018"
"Officina Codroipo","BCG3640","PR005"
"Officina Maniago","YNW6070","PR020"
"Officina Sacile","MAJ0497","PR040"
"Officina Latisana","UWH2758","PR010"
"Officina Spilimbergo","ION3318","PR013"
"Officina Codroipo","XMP0644","PR026"
"Officina Pasian di Prato","KLZ2241","PR031"
"Officina Tavagnacco","BYU0401","PR034"
"Officina Sacile","UWS8503","PR030"
"Officina Sacile","AVN7991","PR032"
"Officina Gorizia","FWU8748","PR019"
"Officina Adegliaco","MSA4193","PR026"
"Officina Pordenone","CAE8677","PR024"
"Officina Tarvisio","HEF1997","PR041"
"Officina Cervignano del Friuli","HFA4194","PR011"
"Officina Tolmezzo","DFQ1951","PR043"
"Officina Aquileia","BBM0799","PR049"
"Officina Tricesimo","TXX0036","PR050"
"Officina Fagagna","KRG5747","PR041"
"Officina Tolmezzo","BLP9058","PR035"
"Officina San Vito al Tagliamento","HWE9286","PR036"
"Officina Gemona","QTA7270","PR038"
"Officina Gorizia","SZQ7760","PR023"
"Officina Gemona","QWJ2788","PR007"
"Officina San Giorgio di Nogaro","STR9469","PR040"
"Officina Aquileia","VMH5019","PR050"
"Officina Gemona","ITJ1060","PR004"
"Officina Fagagna","BFE6774","PR039"
"Officina Cividale del Friuli","KJU7872","PR022"
"Officina San Giorgio di Nogaro","BIM4544","PR043"
"Officina Gemona","NUS3802","PR037"
"Officina Tavagnacco","BJS4635","PR023"
"Officina Azzano Decimo","PQK6016","PR033"
"Officina Codroipo","AXK7722","PR003"
"Officina Adegliaco","FBG9547","PR006"
"Officina Adegliaco","PST2354","PR026"
"Officina Lignano Sabbiadoro","RUI0788","PR032"
"Officina Aquileia","PMP2537","PR049"
"Officina San Daniele del Friuli","LLC2306","PR023"
"Officina Azzano Decimo","HDL7254","PR046"
"Officina Monfalcone","UKI6101","PR005"
"Officina San Daniele del Friuli","AYZ4318","PR027"
"Officina Latisana","VTC1719","PR031"
"Officina San Giorgio di Nogaro","FLD2580","PR033"
"Officina Gemona","GNG1295","PR026"
"Officina Palmanova","WUR0199","PR007"
"Officina Codroipo","DAE3696","PR041"
"Officina Buttrio","MLC7992","PR030"
"Officina Aquileia","WCX8876","PR019"
"Officina Gorizia","GPR3248","PR033"
"Officina Tricesimo","CTV3921","PR038"
"Officina Gemona","BTT3255","PR031"
"Officina Azzano Decimo","RUO3540","PR020"
"Officina Gemona","SCB1729","PR019"
"Officina Latisana","IWG8407","PR027"
"Officina Maniago","BLV0866","PR036"
"Officina Buttrio","RYA1268","PR020"
"Officina Latisana","PFO0219","PR032"
"Officina Buttrio","LZL5990","PR022"
"Officina Azzano Decimo","HWM6668","PR046"
"Officina Adegliaco","PYW5513","PR025"
"Officina Adegliaco","SLR2259","PR026"
"Officina Codroipo","GCJ3045","PR009"
"Officina Tricesimo","HMJ4716","PR018"
"Officina Buttrio","KBG2834","PR042"
"Officina Fagagna","CFO2250","PR009"
"Officina Udine","DPS1856","PR002"
"Officina Tolmezzo","NAB3826","PR047"
"Officina Cividale del Friuli","EGA6983","PR023"
"Officina Tarvisio","PYC0106","PR020"
"Officina Gemona","AIZ5499","PR041"
"Officina Lignano Sabbiadoro","SSD5723","PR011"
"Officina Buttrio","BTR9399","PR004"
"Officina Tarvisio","CAQ3013","PR050"
"Officina San Vito al Tagliamento","VJV3631","PR017"
"Officina Tarvisio","OWD9101","PR038"
"Officina Tavagnacco","SWF4459","PR027"
"Officina Pasian di Prato","VHL4328","PR031"
"Officina Fagagna","QDC0220","PR013"
"Officina San Vito al Tagliamento","OAR8442","PR034"
"Officina Palmanova","HJB4643","PR021"
"Officina Tolmezzo","HAE7506","PR007"
"Officina Aquileia","RKL9392","PR041"
